timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2021/10/24 12:33:3, 17.60, 51.22, 1007.76, 0.00, 355, 
2021/10/24 12:33:4, 17.60, 51.23, 1007.74, 0.00, 353, 
2021/10/24 12:33:5, 17.61, 51.23, 1007.74, 0.00, 353, 
2021/10/24 12:33:6, 17.62, 51.23, 1007.73, 0.00, 355, 
2021/10/24 12:33:7, 17.63, 51.24, 1007.75, 0.00, 354, 
2021/10/24 12:33:8, 17.62, 51.24, 1007.73, 0.00, 354, 
2021/10/24 12:33:9, 17.64, 51.26, 1007.73, 0.00, 354, 
2021/10/24 12:33:10, 17.63, 51.26, 1007.72, 0.00, 354, 
2021/10/24 12:33:11, 17.64, 51.28, 1007.75, 0.00, 354, 
2021/10/24 12:33:12, 17.65, 51.29, 1007.74, 0.00, 354, 
2021/10/24 12:33:13, 17.65, 51.30, 1007.73, 0.00, 355, 
2021/10/24 12:33:14, 17.66, 51.31, 1007.74, 0.00, 354, 
2021/10/24 12:33:15, 17.67, 51.31, 1007.70, 0.00, 353, 
2021/10/24 12:33:16, 17.67, 51.32, 1007.74, 0.00, 355, 
2021/10/24 12:33:17, 17.69, 51.31, 1007.74, 0.00, 353, 
2021/10/24 12:33:18, 17.67, 51.33, 1007.71, 0.00, 355, 
2021/10/24 12:33:19, 17.69, 51.33, 1007.75, 0.00, 352, 
2021/10/24 12:33:20, 17.70, 51.35, 1007.75, 0.00, 354, 
2021/10/24 12:33:21, 17.70, 51.36, 1007.74, 0.00, 353, 
2021/10/24 12:33:22, 17.71, 51.36, 1007.73, 0.00, 353, 
2021/10/24 12:33:23, 17.73, 51.37, 1007.75, 0.00, 355, 
2021/10/24 12:33:26, 17.73, 51.39, 1007.73, 0.00, 353, 
2021/10/24 12:33:27, 17.73, 51.40, 1007.75, 0.00, 353, 
2021/10/24 12:33:28, 17.74, 51.42, 1007.75, 0.00, 354, 
2021/10/24 12:33:29, 17.74, 51.43, 1007.74, 0.00, 353, 
2021/10/24 12:33:30, 17.76, 51.41, 1007.74, 0.00, 354, 
2021/10/24 12:33:31, 17.75, 51.31, 1007.73, 0.00, 354, 
2021/10/24 12:33:32, 17.77, 51.19, 1007.73, 0.00, 353, 
2021/10/24 12:33:33, 17.76, 51.11, 1007.74, 0.00, 353, 
2021/10/24 12:33:34, 17.76, 51.06, 1007.76, 0.00, 353, 
2021/10/24 12:33:35, 17.74, 51.01, 1007.71, 0.00, 355, 
2021/10/24 12:33:36, 17.71, 50.71, 1007.72, 0.00, 355, 
2021/10/24 12:33:37, 17.68, 50.46, 1007.70, 0.00, 355, 
2021/10/24 12:33:38, 17.66, 50.35, 1007.70, 0.29, 357, 
2021/10/24 12:33:39, 17.64, 50.42, 1007.70, 0.07, 357, 
2021/10/24 12:33:40, 17.63, 50.41, 1007.72, 0.29, 358, 
2021/10/24 12:33:41, 17.62, 50.51, 1007.72, 0.51, 358, 
2021/10/24 12:33:42, 17.61, 50.62, 1007.73, 0.51, 358, 
2021/10/24 12:33:43, 17.60, 50.69, 1007.71, 0.51, 356, 
2021/10/24 12:33:44, 17.60, 50.78, 1007.74, 0.51, 356, 
2021/10/24 12:33:45, 17.59, 50.81, 1007.72, 0.51, 357, 
2021/10/24 12:33:46, 17.58, 50.85, 1007.74, 0.29, 358, 
2021/10/24 12:33:47, 17.57, 50.87, 1007.73, 0.00, 359, 
2021/10/24 12:33:48, 17.57, 50.91, 1007.69, 0.00, 356, 
2021/10/24 12:33:49, 17.57, 50.95, 1007.72, 0.00, 358, 
2021/10/24 12:33:50, 17.58, 50.98, 1007.73, 0.00, 357, 
