timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
MQTT --- 2021/10/24__11:4:45, 13.26, 71.00, 1008.02, 0.07, 50, 
MQTT --- 2021/10/24__11:4:46, 13.26, 71.00, 1008.02, 0.07, 230, 
MQTT --- 2021/10/24__11:4:47, 13.25, 70.99, 1007.96, 0.07, 180, 
MQTT --- 2021/10/24__11:4:48, 13.25, 70.98, 1007.97, 0.07, 180, 
MQTT --- 2021/10/24__11:4:49, 13.26, 70.98, 1007.98, 0.07, 67, 
MQTT --- 2021/10/24__11:4:50, 13.26, 70.97, 1007.97, 0.29, 180, 
MQTT --- 2021/10/24__11:4:51, 13.26, 70.97, 1311.10, 0.00, 45, 
MQTT --- 2021/10/24__11:4:52, 13.26, 70.97, 1007.97, 0.07, 180, 
MQTT --- 2021/10/24__11:4:53, 13.26, 70.96, 1008.00, 0.07, 225, 
MQTT --- 2021/10/24__11:4:54, 13.26, 70.95, 1007.97, 0.29, 50, 
MQTT --- 2021/10/24__11:4:55, 13.26, 70.95, 1007.98, 0.29, 225, 
MQTT --- 2021/10/24__11:4:56, 13.27, 70.97, 1007.97, 0.07, 225, 
MQTT --- 2021/10/24__11:4:57, 13.27, 70.97, 1007.99, 0.07, 180, 
MQTT --- 2021/10/24__11:4:58, 13.27, 70.96, 1007.99, 0.07, 225, 
MQTT --- 2021/10/24__11:4:59, 13.27, 70.96, 1007.98, 0.07, 180, 
MQTT --- 2021/10/24__11:5:0, 13.26, 70.95, 1007.96, 0.07, 180, 
MQTT --- 2021/10/24__11:5:1, 13.27, 70.94, 1007.97, 0.51, 180, 
MQTT --- 2021/10/24__11:5:2, 13.27, 70.94, 1008.00, 0.51, 180, 
MQTT --- 2021/10/24__11:5:3, 13.27, 70.93, 1008.00, 0.51, 180, 
MQTT --- 2021/10/24__11:5:4, 13.27, 70.93, 1007.99, 0.51, 180, 
MQTT --- 2021/10/24__11:5:5, 13.27, 70.93, 1007.96, 0.51, 180, 
MQTT --- 2021/10/24__11:5:6, 13.27, 70.92, 1007.99, 0.51, 180, 
MQTT --- 2021/10/24__11:5:7, 13.27, 70.91, 1007.98, 0.51, 180, 
MQTT --- 2021/10/24__11:5:8, 13.27, 70.91, 1007.97, 0.51, 180, 
MQTT --- 2021/10/24__11:5:9, 13.27, 70.89, 1007.97, 0.51, 180, 
MQTT --- 2021/10/24__11:5:10, 13.28, 70.86, 1007.99, 0.51, 180, 
MQTT --- 2021/10/24__11:5:11, 13.29, 70.81, 1007.98, 0.51, 180, 
MQTT --- 2021/10/24__11:5:12, 13.27, 70.75, 1007.97, 0.51, 180, 
MQTT --- 2021/10/24__11:5:13, 13.28, 70.54, 1007.96, 0.51, 180, 
MQTT --- 2021/10/24__11:5:14, 13.28, 70.34, 1007.95, 0.73, 180, 
